,TweetID,Text,CreatedOn,AuthorID,Name,Handler
0,1568010562554007553,Power restored to all areas of Oman's Muscat after blackout https://t.co/W0VyMSTdDt via @Reuters,2022-09-08 22:57:04+00:00,24842995,Nino Brodin,Orgetorix
1,1567679317093584898,"Oman is investigating an unprecedented blackout that left large parts of the population without power on Monday
https://t.co/0ROgCtFCbn",2022-09-08 01:00:49+00:00,2380259108,The New Arab,The_NewArab
2,1567604210396446722,"Oman witnessed a day-long power outage hitting large parts of the sultanate
https://t.co/0ROgCtFCbn",2022-09-07 20:02:23+00:00,1302217735246680066,FL360aero,fl360aero
3,1567594849443975171,"On 5th September , a similar scenario was observed at Muscat Intl. Airport (MCT/OOMS), Oman due to nationwide power outage. https://t.co/CsOJC9fF82",2022-09-07 19:25:11+00:00,2399045929,Times of Oman,timesofoman
4,1567450593630756870,Midday Update: Nama Group explains reason behind major power outage in Oman https://t.co/ViCF9u59HI,2022-09-07 09:51:58+00:00,962305884,Oman Observer 🇴🇲,OmanObserver
5,1567448336587792386,"Majlis A'Shura discusses the reasons for the power outage.
@ShuraCouncil_OM #Oman #OmanObserver https://t.co/MBUzwrdiLG",2022-09-07 09:42:59+00:00,897475308651196418,TFM Oman,TFMOman
6,1567424739492384770,Nama Group issued the initial evaluation of the emergency situation regarding the power outage which occurred on Monday in most governorates of the Sultanate. The interruption was due to the sudden exit of a high-voltage line between Ibri and Nahaida stations #poweroutage #oman,2022-09-07 08:09:13+00:00,1321153675457343488,Radio Chaska Oman,ChaskaOman
7,1567399358466777089,#oman: What was the cause of sudden electricity outage in Oman? https://t.co/sXFBLe9Gvg,2022-09-07 06:28:22+00:00,1063776652335988737,The Arabian Stories,arabian_stories
8,1567392191609475073,"Nama Group issues an initial evaluation report that details the reason behind Monday’s power outage in Oman. 

@group_nama 
https://t.co/RCsEHTNvK0",2022-09-07 05:59:53+00:00,969934093,Muscat Daily,muscat_daily
9,1567387748314529794,"Nama Group issues apology for outage https://t.co/u3x2tjvchi

#muscatdaily #oman #dailynewsoman #dailynews #onlinenews #newsinoman",2022-09-07 05:42:14+00:00,1456460688797229057,The Times Of Updates,TimesOfUpdate
10,1567381809851256834,".@group_nama has issued the initial evaluation of the emergency situation regarding the power outage which occurred on Monday. 

https://t.co/FQtyrfOL2G",2022-09-07 05:18:38+00:00,81136269,Middle East Monitor,MiddleEastMnt
11,1567376959658754049,Gulf Update Major power outage across Oman affected traffic signals – Gulf Insider TOU https://t.co/jfMXmLYIoq,2022-09-07 04:59:22+00:00,1490331578425389066,Billy Jones,Thetravelshow
12,1567375987825836033,"After the massive power outage in several governorates of #Oman, enquiries for backup generators have gone up rather drastically.

https://t.co/MUSeQoyIIr",2022-09-07 04:55:30+00:00,1463524951563161602,UapArabia,UapArabia
13,1567273985506779139,"Swathes of Oman were plunged into darkness on Monday as problems with the country's electrical grid led to a 'partial blackout'.

https://t.co/dvpKebYAbN",2022-09-06 22:10:11+00:00,37978772,Susan Hutton,newsbriefsoman
14,1567271634284822536,"Oman's Muscat hit by power blackout, Authority of Public Services Regulation says https://t.co/hu3tF3R5dd",2022-09-06 22:00:50+00:00,1556922735128879104,Khabar Par Nazar.info,KhabarPar_Nazar
15,1567232388580917248,@MubarakDawoodi @Mog_Oman @apsr_om @Oman_GC Blackout incident investigation report https://t.co/zzB3vwALqw,2022-09-06 19:24:53+00:00,775175696645623808,Anas Alhajji,anasalhajji
16,1567217762694565894,"My dear @NASA, 
Do you have satellites aimed at the Sultanate of Oman? Can these satellites or monitoring devices monitor phenomena like: UAPs? 

Yesterday, there was an enormous power outage in the Sultanate of Oman
https://t.co/BL3jml99Xd",2022-09-06 18:26:46+00:00,1493533134,اضافة متابعيين,hassanvigh
17,1567213378292121603,#oman: Power outage in Oman: APSR chief insists on ‘technical failure’ https://t.co/zYpmW8onh9 https://t.co/K1aQ82Mrmn,2022-09-06 18:09:21+00:00,1328748402947964933,Cloudflare Radar,CloudflareRadar
18,1567178871476305920,Power outage is due to purely technical reasons https://t.co/IxLzjM8YHz,2022-09-06 15:52:14+00:00,359293694,Mohamed Al Sharji,MoSharji
19,1567178360626847751,"#Oman's Muscat hit by power blackout, Authority of Public Services Regulation says https://t.co/hu3tF3R5dd",2022-09-06 15:50:12+00:00,1134203432796119041,Gulftech,Gulftechkhan
20,1567168303679815681,"Electrical grid problems cut power to parts of Oman on Monday, resulting in a 'partial blackout' 👇

https://t.co/dvpKebYAbN",2022-09-06 15:10:14+00:00,1563201894050594818,Aviationwebnews,aviationwebnew
21,1567167195653840897,Power restored to all areas of Oman's Muscat after blackout https://t.co/9J7U6eswSF,2022-09-06 15:05:50+00:00,580734102,Daily Hindustan News,dhindustannews
22,1567130302689992706,"Announcement of closure of schools affected by power outage

#school #closure #oman #poweroutage #khabar_par_nazar 

Read more: https://t.co/WqeNmmk0BJ https://t.co/TQdCGWy0zO",2022-09-06 12:39:14+00:00,1714706737,Swathi Suresh,BrownPonnu
23,1567112321679429634,Oman announces the return of electricity to all areas affected by the outage.  An investigation of the concerned companies is underway to determine the reasons for what happened https://t.co/4lHKNb9IQO,2022-09-06 11:27:47+00:00,2208650576,حَبابْ,HababMO
24,1567106915779346434,"Al Hinai visited Ibri 400/200 kV station on Tuesday as part of the investigation.

@apsr_om 

https://t.co/2vOtfT1m5i",2022-09-06 11:06:18+00:00,1596829382,Zyite,ZyiteGadgets
25,1567096949030912002,#oman: Major power outage brings life to a standstill in Oman https://t.co/bAPRz75Auf,2022-09-06 10:26:42+00:00,1162666071318507520,Arabian Daily,arabiandailys
26,1567093027142762496,"Parts of Oman were plunged into darkness on Monday as problems with the country's electrical grid led to a 'partial blackout'.

https://t.co/dvpKebYAbN",2022-09-06 10:11:07+00:00,620136960,CGTN America,cgtnamerica
27,1567091684022059008,"This is what the Chairman of the Authority for Public Services Regulation (APSR) had to say.

https://t.co/s39IffjY3j",2022-09-06 10:05:47+00:00,1115874631,CGTN,CGTNOfficial
28,1567089202147254272,Midday Update: Diploma exams postponed due to power outage in Oman https://t.co/uXVdnrvrS3,2022-09-06 09:55:55+00:00,717798694817370113,AVSEC Pro,avsec_pro
29,1567087802814275585,"A woman directing the traffic in Muscat during the electricity blackout this afternoon  
.
#woman #انقطاع_الكهرباء #الكهرباء #يحدث_الآن #oman #traffic https://t.co/EsesjbxQZH",2022-09-06 09:50:21+00:00,1317377439258075136,Icy surface with quite the flammable potential,FlammableIcy
